report_year,division,count
2014,D22,31
2014,D14,104
2014,D22,2
2014,D14,1
2014,D14,1
2014,D22,2
2014,D22,12
2014,D22,89
2014,D14,22
2014,D22,41
2014,D14,27
2014,D14,15
2014,D14,29
2014,D14,20
2014,D14,145
2014,D14,39
2014,D14,14
2014,D14,35
2014,D14,132
2014,D14,56
2014,D14,54
2014,D14,64
2014,D14,134
2014,D14,6
2014,D14,2
2014,D14,2
2014,D14,2
2014,D14,10
2014,D14,1
2014,D14,12
2014,D14,3
2014,D14,3
2014,D14,10
2014,D14,2
2014,D14,1
2014,D14,8
2014,D14,9
2014,D14,3
2014,D14,3
2014,D14,2
2014,D14,5
2014,D14,1
2014,D14,2
2014,D14,2
2014,D14,5
2014,D14,2
2014,D14,6
2014,D22,11
2014,D22,5
2014,D22,10
2014,D22,29
2014,D22,4
2014,D22,34
2014,D22,15
2014,D14,4
2014,D22,1
2014,D14,2
2014,D22,3
2014,D14,208
2014,D22,7
2014,D22,20
2014,D22,21
2014,D14,2
2014,D14,235
2014,D22,3
2014,D22,2
2014,D22,7
2014,D22,14
2014,D14,22
2014,D14,1
2014,D22,6
2014,D22,1
2014,D22,272
2014,D22,46
2014,D14,18
2014,D14,6
2014,D22,33
2014,D22,1
2014,D22,6
2014,D22,8
2014,D14,19
2014,D14,293
2014,D22,6
2014,D22,9
2014,D22,37
2014,D22,5
2014,D14,7
2014,D14,199
2014,D22,3
2014,D22,4
2014,D22,10
2014,D22,30
2014,D14,2
2014,D14,354
2014,D22,3
2014,D22,12
2014,D22,59
2014,D22,41
2014,D14,280
2014,D22,2
2014,D22,16
2014,D14,47
2014,D14,69
2014,D22,1
2014,D22,1
2014,D14,3
2014,D14,1
2014,D22,4
2014,D22,3
2014,D22,13
2014,D22,2
2014,D14,5
2014,D14,45
2014,D22,1
2014,D22,4
2014,D22,1
2014,D22,2
2014,D14,24
2014,D14,24
2014,D22,1
2014,D22,3
2014,D22,14
2014,D22,5
2014,D14,19
2014,D14,88
2014,D22,9
2014,D22,3
2014,D22,7
2014,D22,1
2014,D14,18
2014,D14,32
2014,D22,2
2014,D22,9
2014,D22,12
2014,D22,2
2014,D14,32
2014,D14,1
2014,D22,76
2014,D22,8
2014,D22,2
2014,D22,1
2014,D14,9
2014,D14,157
2014,D22,8
2014,D22,2
2014,D14,13
2014,D14,50
2014,D22,5
2014,D22,126
2014,D22,1
2014,D14,6
2014,D14,15
2014,D22,15
2014,D22,107
2014,D22,3
2014,D14,1
2014,D14,79
2014,D22,14
2014,D22,680
2014,D22,15
2014,D14,7
2014,D14,164
2014,D22,19
2014,D22,43
2014,D22,1
2014,D14,2
2014,D14,105
2014,D22,4
2014,D22,1
2014,D22,19
2014,D14,12
2014,D14,86
2014,D22,1
2014,D22,78
2014,D22,30
2014,D14,8
2014,D14,148
2014,D22,1
2014,D22,198
2014,D22,155
2014,D14,17
2014,D14,1
2014,D22,126
2014,D22,19
2014,D14,7
2014,D14,120
2014,D22,1
2014,D14,7
2014,D22,21
2014,D22,93
2014,D14,2
2014,D14,10
2014,D22,74
2014,D22,125
2014,D14,1
2014,D14,24
2014,D22,7
2014,D22,149
2014,D14,1
2014,D14,14
2014,D22,11
2014,D22,28
2014,D14,2
2014,D14,9
2014,D22,24
2014,D22,99
2014,D14,16
2014,D14,6
2014,D22,25
2014,D22,160
2014,D14,14
2014,D14,8
2014,D22,21
2014,D22,1
2014,D14,11
2014,D14,4
2014,D22,21
2014,D22,263
2014,D14,15
2014,D14,8
2014,D22,29
2014,D22,1
2014,D14,16
2014,D14,1
2014,D22,52
2014,D22,1
2014,D14,28
2014,D14,13
2014,D22,1
2014,D22,40
2014,D14,22
2014,D22,45
2014,D14,9
2014,D22,1
2014,D22,23
2014,D14,9
2014,D22,30
2014,D14,1
2014,D22,47
2014,D14,2
2014,D22,61
2014,D14,23
2014,D22,140
2014,D14,1
2014,D22,144
2014,D14,45
2014,D22,41
2014,D14,7
2014,D22,42
2014,D14,21
2014,D22,57
2014,D14,22
2014,D22,30
2014,D14,11
2014,D22,86
2014,D22,73
2014,D23,12
2014,D22,1
2014,D23,20
2014,D23,78
2014,D23,1
2014,D22,7
2014,D23,3
2014,D23,20
2014,D22,2
2014,D23,2
2014,D31,1
2014,D23,11
2014,D22,4
2014,D23,6
2014,D31,1
2014,D31,114
2014,D23,3
2014,D23,1
2014,D22,1
2014,D23,3
2014,D31,3
2014,D31,5
2014,D23,2
2014,D23,1
2014,D23,2
2014,D23,9
2014,D23,71
2014,D23,7
2014,D23,2
2014,D23,11
2014,D23,9
2014,D23,8
2014,D23,8
2014,D23,10
2014,D23,52
2014,D23,20
2014,D23,2
2014,D23,1
2014,D23,1
2014,D23,2
2014,D23,10
2014,D23,1
2014,D23,2
2014,D23,19
2014,D23,20
2014,D23,2
2014,D23,42
2014,D23,86
2014,D23,11
2014,D23,1
2014,D23,18
2014,D23,24
2014,D23,197
2014,D23,36
2014,D23,3
2014,D23,30
2014,D23,40
2014,D23,2
2014,D23,82
2014,D23,93
2014,D23,15
2014,D23,26
2014,D23,19
2014,D23,209
2014,D23,73
2014,D23,1
2014,D23,2
2014,D31,46
2014,D23,5
2014,D23,5
2014,D23,1
2014,D23,10
2014,D23,40
2014,D22,1
2014,D31,9
2014,D23,4
2014,D23,2
